site_no, average,dec_lat_va,dec_long_va,NSE_state
1350180,-7.662496623,42.4658333,-74.4622222,4
1350140,0.58537837,42.42888889,-74.4730556,3
1365000,0.615755799,41.86638889,-74.4872222,3
1434025,0.520281088,41.9960833,-74.5002222,3
1382210,-0.006739294,41.0397222,-74.5016667,4
1466500,-106.1068573,39.885,-74.50527778,4
1403900,-0.151484424,40.585,-74.50777778,4
1381400,0.187097521,40.8122222,-74.5119444,4
1410000,-9.010364922,39.66394444,-74.5234444,4
1379000,0.528541364,40.68,-74.52888889,3
1365500,0.369212183,41.845,-74.5394444,4
1379773,-7.203487508,40.96,-74.5397222,4
1434017,0.573137874,41.92527778,-74.54027778,3
1409810,-0.702132747,39.68805556,-74.5480556,4
1403060,0.352556495,40.5511111,-74.5483333,4
4270200,-3.406104136,44.94,-74.5569444,4
1379780,-10.26261195,40.94944444,-74.5572222,4
1413088,-0.270050255,42.29380556,-74.5591944,4
4266500,-0.913993978,44.2347222,-74.5719444,4
1434498,0.571993634,41.92041667,-74.57438889,3
1402000,0.57464019,40.475,-74.5758333,3
1400500,0.306655439,40.55555556,-74.58277778,4
1435000,0.638031559,41.89,-74.59,3
1403150,0.531171921,40.6122222,-74.5908333,3
1464500,0.28527068,40.1372222,-74.6,4
1413398,-0.052742749,42.1508333,-74.60138889,4
1437500,-0.880935052,41.4411111,-74.6019444,4
1349150,0.323398053,42.87627778,-74.6028611,4
1436690,-2.09310851,41.63805556,-74.61688889,4
1402630,0.645578371,40.5061111,-74.6230556,3
1413408,0.570493363,42.14666667,-74.6233333,3
1466900,-3.881973848,39.9561111,-74.62777778,4
1349000,0.55347054,42.92925,-74.63288889,3
1436000,-4754.312788,41.82,-74.6355556,4
1398500,-0.904758301,40.7083333,-74.6361111,4
1401650,0.692960206,40.46805556,-74.64888889,2
1413500,0.624225748,42.1447222,-74.6536111,3
1367805,-0.031589738,41.17,-74.6566222,4
1421618,0.59536511,42.3611111,-74.6622222,3
1409400,0.270344893,39.67444444,-74.665,4
1455500,-0.969137358,40.9172222,-74.6655556,4
1421610,0.663296086,42.37138889,-74.66888889,2
1463620,-0.451981159,40.2697222,-74.6719444,4
1400000,0.327574133,40.57055556,-74.6791667,4
1399100,0.604044448,40.64944444,-74.6816667,3
1401000,0.632399583,40.33305556,-74.6819444,3
1467000,-0.963949112,39.97,-74.6844444,4
1443280,-4.196397915,41.07638889,-74.69527778,4
1414000,0.650259171,42.13305556,-74.6955556,2
1434000,-0.345847615,41.3706493,-74.6973853,4
1399500,-0.504264195,40.7275,-74.73027778,4
1414500,0.593197764,42.1061111,-74.7305556,3
4268800,0.237183702,44.5986111,-74.7372222,4
1348000,0.447349149,43.01666667,-74.7408333,4
1464000,0.513297315,40.22416667,-74.7491667,3
1433500,-0.040641843,41.4612222,-74.75877778,4
1465850,0.380166144,39.94,-74.7630556,4
1463740,0.693396133,40.2711111,-74.7733333,2
1399670,0.500579006,40.61944444,-74.7736111,3
1445000,-5.470464174,40.9808333,-74.77638889,4
1463500,-0.344408371,40.22166667,-74.7780556,4
4269000,0.299875535,44.8636111,-74.77888889,4
1347000,-0.05691931,43.0147222,-74.7794444,4
1432900,0.535470271,41.66805556,-74.7805556,3
1438500,-0.528791987,41.30916667,-74.79527778,4
1415000,0.551592977,42.12,-74.8186111,3
1411300,-1.622645495,39.30694444,-74.8205556,4
1398000,0.665373436,40.4733333,-74.82777778,2
1411000,-0.132712676,39.5947222,-74.8516667,4
1397000,-0.04317947,40.5722222,-74.8680556,4
1396500,0.319898764,40.67777778,-74.8791667,4
4267500,-1.358793272,44.5098333,-74.8836111,4
1422500,0.672789133,42.2522222,-74.9016667,2
1421900,0.775084308,42.28027778,-74.9072222,1
1410820,0.07312545,39.66916667,-74.9133333,4
1396800,-343.4840424,40.64,-74.9155556,4
1396582,0.180239421,40.69138889,-74.9369444,4
